# Logfile created on 2025-11-10 12:06:47 +0900 by logger.rb/v1.5.3
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_text has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_noqrc has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_res has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_iprobe has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : topmetal2_diffprb has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : snsring_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : sensor_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : snsarms_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : snscmosvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : colwind_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : flm_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : hafniumox_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : memvia_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : thinfilmres_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : rfmem_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_drw has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2m3 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2m4 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2m5 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2tm1 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m2tm2 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m3m4 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m3m5 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m3tm1 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m3tm2 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m4m5 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m4tm1 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m4tm2 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m5tm1 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m5tm2 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_tm1tm2 has 0 polygons
2025-11-10 12:06:47 +0900: Memory Usage (444036K) : norcx_m1sub has 0 polygons
